"filename", "language", "HTML", "Markdown", "JSON", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Frank\LunchCount2024\public\main\mainPage.html", "HTML", 37, 0, 0, 0, 0, 3, 4, 44
"c:\Users\Frank\LunchCount2024\public\main\mainPage.js", "JavaScript", 0, 0, 0, 138, 0, 15, 10, 163
"c:\Users\Frank\LunchCount2024\public\main\mainStyles.css", "CSS", 0, 0, 0, 0, 86, 2, 2, 90
"c:\Users\Frank\LunchCount2024\public\main\redirects.css", "CSS", 0, 0, 0, 0, 28, 2, 1, 31
"c:\Users\Frank\LunchCount2024\public\main\redirects.html", "HTML", 35, 0, 0, 0, 0, 0, 0, 35
"c:\Users\Frank\LunchCount2024\public\main\redirects.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 16
"c:\Users\Frank\LunchCount2024\public\main\signIn.js", "JavaScript", 0, 0, 0, 48, 0, 5, 3, 56
"c:\Users\Frank\LunchCount2024\public\main\signInPage.html", "HTML", 43, 0, 0, 0, 0, 2, 0, 45
"c:\Users\Frank\LunchCount2024\public\main\signInStyles.css", "CSS", 0, 0, 0, 0, 75, 0, 5, 80
"c:\Users\Frank\LunchCount2024\server.js", "JavaScript", 0, 0, 0, 230, 0, 28, 16, 274
"Total", "-", 766, 3, 1516, 1238, 814, 224, 147, 4708
